System.Nervous System.CNS.OLIGODENDROCYTE,System.Nervous System.CNS.CEREBRAL CORTEX,System.Nervous System.CNS.NEURON,System.Nervous System.CNS.SPINAL CORD,System.Nervous System.CNS.MIDBRAIN,System.Nervous System.Eye.RETINA,System.Digestive System.Pancreas.BETA CELL,System.Nervous System.CNS.CEREBELLUM,System.Nervous System.CNS.ASTROCYTE,System.Urogenital/Reproductive System.Kidney.PODOCYTE,System.Cardiovascular System.Heart.ATRIUM,System.Nervous System.CNS.HYPOTHALAMUS,System.Nervous System.PNS.MOTOR NEURON,System.Integumentary System.Skin.HAIR FOLLICLE,System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,System.Nervous System.CNS.THALAMUS,System.Nervous System.CNS.MEDULLA,System.Digestive System.Intestine.COLON MUCOSA,System.Integumentary System.Skin.MELANOCYTE,System.Digestive System.Intestine.SMALL INTESTINE,System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,System.Cardiovascular System.Heart.VALVE,System.Nervous System.PNS.SENSORY NEURON,System.Urogenital/Reproductive System.Testis.TESTIS,System.Urogenital/Reproductive System.Kidney.KIDNEY,System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,System.Muscular System.Skeletal muscle.MYOBLAST,System.Digestive System.Pancreas.ALPHA CELL,System.Immune System.Lymphoid.BLYMPHOCYTE,System.Connective Tissue.Bone marrow.CHONDROCYTE,System.Immune System.Myeloid.MICROGLIA,System.Urogenital/Reproductive System.Ovary.OVARY,System.Integumentary System.Skin.BASAL CELL,System.Digestive System.Intestine.COLON,System.Muscular System.Smooth muscle.MYOFIBROBLAST,System.Connective Tissue.Adipose tissue.ADIPOCYTE,System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,System.Respiratory System.Trachea.TRACHEA,System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,System.Immune System.Thymus.THYMUS,System.Cardiovascular System.Heart.VENTRICLE,System.Digestive System.Liver.HEPATIC STELLATE CELL,System.Digestive System.Pancreas.PANCREATIC ISLET,System.Connective Tissue.Bone.OSTEOBLAST,System.Digestive System.Liver.HEPATOCYTE,System.Cardiovascular System.Heart.HEART,System.Connective Tissue.Adipose tissue.ADIPOSE,System.Integumentary System.Skin.FIBROBLAST,System.Immune System.Thymus.THYMOCYTE,System.Urogenital/Reproductive System.Ovary.GRANULOSA,System.Respiratory System.Lung.LUNG,System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,System.Immune System.Granulocytic.GRANULOCYTE,System.Integumentary System.Skin.SKIN,System.Immune System.Myeloid.KUPFFER CELL,System.Digestive System.Liver.LIVER,System.Connective Tissue.Bone.STROMAL CELL,System.Integumentary System.Skin.KERATINOCYTE,System.Respiratory System.Lung.LUNG EPITHELIAL CELL,System.Urogenital/Reproductive System.Breast.BREAST,System.Immune System.Granulocytic.NEUTROPHIL,System.Digestive System.Esophagus.ESOPHAGUS,System.Nervous System.CNS.PONS,System.Urogenital/Reproductive System.Ovary.OOCYTE,System.Immune System.Spleen.SPLEEN,System.Immune System.Myeloid.DENDRITIC CELL,System.Immune System.Lymphoid.TLYMPHOCYTE,System.Connective Tissue.Bone marrow.BONE MARROW,System.Immune System.Myeloid.MACROPHAGE,System.Immune System.Lymphoid.PLASMA CELL
"[2.92457, 5.47412, 10.6134, 12.1462, 13.5757]","[5.51054, 7.8481, 9.73205, 10.9895, 12.6741]","[2.92457, 6.18762, 9.06713, 10.1755, 11.5778]","[4.77037, 6.56147, 8.69241, 13.0227, 13.7924]","[4.47438, 7.16833, 8.01896, 8.70774, 9.9322]","[0.113644, 6.01703, 7.95551, 9.46063, 11.5212]","[0.113644, 6.49365, 7.93315, 9.05898, 9.88603]","[4.00388, 6.76106, 7.61202, 9.1476, 9.93402]","[1.81287, 5.76064, 7.53071, 9.00323, 10.6613]","[3.04913, 6.01703, 7.26685, 7.7822, 8.32484]","[2.16272, 5.14432, 7.13384, 9.00903, 10.6393]","[0.113644, 0.113644, 7.09227, 8.19818, 9.14367]","[5.99799, 6.46517, 7.00003, 7.9143, 9.42271]","[3.56825, 4.6447, 6.76399, 8.07652, 9.02303]","[2.41968, 5.31558, 6.74966, 8.84925, 10.8721]","[3.9543, 5.23546, 6.74922, 7.92914, 9.23324]","[4.03616, 4.45249, 6.71195, 6.93066, 7.06504]","[0.113644, 4.77752, 6.56004, 7.76936, 9.32116]","[0.113644, 0.113644, 6.53965, 8.06575, 9.52562]","[4.40339, 5.84343, 6.42264, 7.1314, 8.77715]","[3.59658, 5.15699, 6.37631, 6.93534, 7.58896]","[0.113644, 4.51527, 6.11658, 7.53071, 9.31175]","[0.113644, 3.83218, 6.09132, 8.7869, 9.6068]","[2.16272, 4.31312, 6.07935, 7.38969, 9.01464]","[0.113644, 3.76961, 6.00751, 7.43021, 8.9515]","[3.28517, 4.97062, 5.98306, 7.3791, 8.91587]","[0.113644, 4.00388, 5.91845, 6.99029, 9.28256]","[0.113644, 3.1737, 5.70924, 8.22372, 10.3296]","[1.81287, 3.89584, 5.69219, 7.37048, 8.99205]","[1.20968, 4.16691, 5.63312, 7.07696, 10.9093]","[0.113644, 3.39116, 5.57065, 7.84657, 11.0708]","[2.91714, 4.43111, 5.484, 6.32936, 8.14233]","[2.61696, 4.47438, 5.47412, 6.68963, 9.9527]","[2.92457, 4.59911, 5.45333, 6.13094, 7.50787]","[3.56825, 4.49423, 5.37289, 5.79949, 7.1573]","[2.16272, 3.58738, 5.18213, 6.89706, 8.22045]","[2.16272, 3.48123, 5.16956, 7.10033, 8.8813]","[0.113644, 3.05618, 5.02256, 6.94045, 8.65835]","[1.20968, 2.5788, 5.00836, 7.15925, 10.3527]","[1.81287, 3.1737, 4.99267, 6.53411, 8.85592]","[1.20968, 2.92457, 4.84279, 6.4358, 9.04138]","[0.113644, 2.81311, 4.79364, 5.88082, 8.65881]","[0.113644, 0.113644, 4.77752, 7.75317, 9.77894]","[2.41968, 3.56825, 4.71212, 6.30103, 9.47674]","[2.77595, 3.89584, 4.67269, 5.37031, 6.50485]","[0.113644, 2.92457, 4.63537, 6.30103, 8.44788]","[2.77595, 3.48123, 4.57973, 6.39207, 8.61582]","[2.91516, 3.33679, 4.49902, 5.16327, 5.35841]","[0.113644, 3.05618, 4.43111, 6.53965, 9.29826]","[0.113644, 0.113644, 4.43111, 8.15764, 9.61895]","[1.81287, 3.28517, 4.38682, 5.72615, 7.80811]","[0.113644, 2.77595, 4.38682, 6.88087, 8.45747]","[0.497257, 3.48123, 4.31312, 5.34834, 6.84573]","[3.48123, 3.64478, 4.21911, 4.63537, 5.83262]","[1.83036, 3.39116, 4.13876, 4.89983, 7.54717]","[0.113644, 2.77595, 4.05534, 5.12394, 7.52912]","[1.36048, 2.95747, 4.05534, 5.17585, 6.49674]","[0.113644, 3.28517, 4.05534, 5.10633, 8.67447]","[0.113644, 2.77595, 3.9543, 5.5514, 7.93693]","[2.23763, 3.56825, 3.89584, 4.61724, 5.28897]","[0.113644, 2.77595, 3.89584, 4.99416, 6.45202]","[1.81287, 3.05618, 3.83218, 4.67269, 6.99479]","[1.81287, 2.77595, 3.76961, 4.99416, 7.50607]","[2.16272, 3.05618, 3.73874, 5.02256, 6.09165]","[2.41968, 2.88741, 3.60651, 5.00781, 6.99982]","[2.41968, 3.05618, 3.56825, 4.36936, 6.01513]","[0.113644, 2.16272, 3.56825, 6.1057, 8.3905]","[0.113644, 2.61696, 3.48123, 4.00388, 5.77252]","[0.113644, 2.16272, 3.1737, 4.00388, 5.1748]","[0.113644, 2.16272, 3.05618, 3.70787, 5.6956]","[1.81287, 2.41968, 2.61696, 3.05618, 5.27552]","[0.113644, 1.81287, 2.41968, 3.39116, 4.68639]"
"[0.113644, 2.16272, 11.7585, 13.4726, 14.1126]","[0.113644, 0.113644, 2.61696, 6.71243, 8.81904]","[0.113644, 1.81287, 2.16272, 3.05618, 4.43111]","[0.113644, 1.20968, 2.16272, 2.92457, 4.00388]","[0.113644, 1.20968, 1.81287, 2.77595, 4.55239]","[0.113644, 0.113644, 1.81287, 5.51846, 8.82906]","[0.113644, 1.20968, 1.81287, 2.41968, 2.92457]","[0.113644, 1.20968, 1.81287, 2.41968, 3.05618]","[0.113644, 0.113644, 1.81287, 3.02327, 4.31312]","[0.113644, 0.113644, 1.20968, 1.36048, 2.62491]","[0.113644, 1.20968, 1.20968, 1.81287, 2.89485]","[0.113644, 0.113644, 1.20968, 1.81287, 4.3519]","[0.113644, 0.113644, 1.20968, 2.16272, 7.33029]","[0.113644, 0.113644, 1.20968, 1.81287, 3.28517]","[0.113644, 0.113644, 1.20968, 2.41968, 7.71358]","[0.113644, 0.113644, 1.20968, 3.39116, 6.81521]","[0.113644, 0.113644, 1.20968, 2.41968, 4.31818]","[0.113644, 0.113644, 1.20968, 1.20968, 2.41968]","[0.113644, 1.20968, 1.20968, 1.81287, 6.13914]","[0.113644, 0.113644, 1.20968, 1.81287, 3.27959]","[0.113644, 0.113644, 1.20968, 2.41968, 6.89926]","[0.113644, 0.113644, 1.20968, 1.81287, 2.61696]","[0.113644, 0.113644, 1.20968, 3.56825, 6.20175]","[0.113644, 0.113644, 1.20968, 3.31166, 6.86864]","[0.113644, 0.113644, 1.20968, 2.469, 8.1011]","[0.113644, 0.113644, 1.20968, 1.36048, 2.11024]","[0.113644, 0.113644, 1.20968, 2.77595, 5.56785]","[0.113644, 0.113644, 1.20968, 2.16272, 3.48993]","[0.113644, 0.113644, 1.20968, 2.41968, 3.76961]","[0.113644, 0.113644, 1.20968, 2.16272, 3.16782]","[0.113644, 0.113644, 1.20968, 2.92457, 4.80976]","[0.113644, 0.113644, 1.20968, 2.41968, 3.87037]","[0.113644, 0.113644, 1.20968, 1.81287, 2.41968]","[0.113644, 0.113644, 1.20968, 2.07526, 2.92457]","[0.113644, 0.113644, 1.20968, 2.16272, 3.64478]","[0.113644, 0.113644, 0.661663, 1.81287, 3.68847]","[0.113644, 0.113644, 0.113644, 1.81287, 4.71212]","[0.113644, 0.113644, 0.113644, 1.20968, 2.21411]","[0.113644, 0.113644, 0.113644, 1.81287, 3.39116]","[0.113644, 0.113644, 0.113644, 1.20968, 2.84283]","[0.113644, 0.113644, 0.113644, 1.20968, 2.41968]","[0.113644, 0.113644, 0.113644, 1.81287, 3.64478]","[0.113644, 0.113644, 0.113644, 1.20968, 3.49948]","[0.113644, 0.113644, 0.113644, 0.113644, 2.41968]","[0.113644, 0.113644, 0.113644, 1.81287, 3.81368]","[0.113644, 0.113644, 0.113644, 1.20968, 4.21911]","[0.113644, 0.113644, 0.113644, 1.20968, 1.81287]","[0.113644, 0.113644, 0.113644, 1.20968, 3.16194]","[0.113644, 0.113644, 0.113644, 1.81287, 8.02584]","[0.113644, 0.113644, 0.113644, 1.20968, 1.81287]","[0.113644, 0.113644, 0.113644, 1.20968, 3.07907]","[0.113644, 0.113644, 0.113644, 1.81287, 3.05618]","[0.113644, 0.113644, 0.113644, 1.20968, 3.89584]","[0.113644, 0.113644, 0.113644, 0.113644, 3.28517]","[0.113644, 0.113644, 0.113644, 0.113644, 1.20968]","[0.113644, 0.113644, 0.113644, 0.387653, 1.60175]","[0.113644, 0.113644, 0.113644, 1.81287, 6.40004]","[0.113644, 0.113644, 0.113644, 0.113644, 2.77595]","[0.113644, 0.113644, 0.113644, 0.113644, 1.81287]","[0.113644, 0.113644, 0.113644, 1.20968, 2.69645]","[0.113644, 0.113644, 0.113644, 1.20968, 2.77595]","[0.113644, 0.113644, 0.113644, 1.20968, 2.41968]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 2.41968]","[0.113644, 0.113644, 0.113644, 1.20968, 2.77595]","[0.113644, 0.113644, 0.113644, 1.20968, 3.1737]","[0.113644, 0.113644, 0.113644, 1.81287, 5.20789]","[0.113644, 0.113644, 0.113644, 2.16272, 6.37018]","[0.113644, 0.113644, 0.113644, 1.20968, 2.92457]","[0.113644, 0.113644, 0.113644, 1.81287, 3.71927]","[0.113644, 0.113644, 0.113644, 1.20968, 3.05618]","[0.113644, 0.113644, 0.113644, 1.20968, 3.96669]"
"[5.62063, 8.12393, 8.92875, 9.80559, 10.7603]","[6.48238, 8.25667, 8.88232, 9.45093, 10.3063]","[2.92457, 6.9171, 8.04145, 8.42346, 9.19257]","[0.113644, 5.78672, 8.02354, 9.01899, 10.347]","[5.84343, 7.34635, 7.84657, 8.25181, 8.93462]","[0.113644, 6.85776, 7.57242, 8.43462, 9.54141]","[0.113644, 4.84279, 7.17515, 8.97562, 10.8855]","[1.20968, 6.07935, 7.14836, 7.89585, 8.83547]","[0.113644, 4.47438, 6.89949, 8.21748, 9.52035]","[5.02738, 6.02134, 6.8596, 7.36716, 9.38227]","[3.1737, 5.2623, 6.74514, 7.68558, 9.52282]","[5.24558, 6.29443, 6.67484, 8.31224, 9.19217]","[0.113644, 2.41968, 6.57131, 9.71877, 11.2898]","[0.113644, 3.17067, 6.45202, 7.79648, 8.93511]","[0.113644, 5.20789, 6.45202, 7.72192, 9.89635]","[1.10008, 5.54225, 6.39847, 7.10985, 8.33176]","[5.8603, 6.01362, 6.25074, 6.52976, 7.22957]","[1.20968, 4.43111, 6.24863, 7.41835, 10.3245]","[4.43111, 5.43598, 6.21812, 7.35409, 8.64677]","[4.67269, 5.74381, 6.17424, 6.58321, 7.32087]","[0.113644, 4.00388, 6.06605, 8.00002, 10.5893]","[0.113644, 3.86401, 5.82639, 7.12911, 9.44368]","[0.113644, 4.21911, 5.74381, 7.17906, 9.82443]","[2.62491, 5.00126, 5.73498, 6.59344, 8.171]","[1.81287, 4.84279, 5.61397, 6.16133, 6.91324]","[0.113644, 4.11061, 5.57065, 6.84182, 8.73721]","[1.81287, 3.89584, 5.49388, 6.86236, 10.3293]","[0.113644, 0.113644, 5.40837, 7.87672, 9.68771]","[1.20968, 3.83218, 5.28658, 6.35023, 8.16673]","[1.20968, 3.56825, 5.28658, 7.48062, 8.92099]","[2.77595, 4.16691, 4.81015, 5.75676, 7.02558]","[2.92457, 3.84809, 4.77752, 6.74543, 8.63275]","[2.16272, 3.56825, 4.72917, 5.75099, 9.47341]","[0.113644, 2.77595, 4.47438, 5.91845, 8.00958]","[0.113644, 0.113644, 4.47438, 6.42264, 8.6104]","[0.113644, 0.113644, 4.43111, 7.37647, 9.283]","[0.113644, 3.28517, 4.38682, 5.91848, 7.58094]","[0.113644, 3.05618, 4.21911, 5.6831, 7.23748]","[0.113644, 2.81311, 4.16691, 6.66182, 8.40795]","[2.79824, 3.22792, 4.1585, 4.87314, 5.17428]","[3.10318, 3.70787, 4.11061, 4.71212, 5.22443]","[0.113644, 3.56825, 4.11061, 4.99188, 8.19298]","[1.81287, 3.28517, 4.11061, 4.74622, 6.06132]","[1.20968, 3.1737, 4.11061, 5.20789, 8.39082]","[0.113644, 3.05618, 4.11061, 5.18213, 7.09821]","[0.113644, 2.41968, 4.05534, 6.05008, 9.32468]","[1.20968, 2.41968, 3.97909, 6.45202, 9.39085]","[2.07526, 2.92457, 3.83272, 5.70068, 6.70385]","[0.113644, 2.92457, 3.83218, 4.93037, 8.02123]","[1.81287, 3.1737, 3.83218, 4.80976, 6.63551]","[0.113644, 2.469, 3.70787, 6.28065, 7.55818]","[0.113644, 0.113644, 3.56825, 5.37577, 7.73006]","[1.20968, 2.41968, 3.56825, 7.65674, 9.42652]","[0.113644, 1.20968, 3.56825, 7.10033, 9.43073]","[1.78271, 2.41968, 3.28517, 4.37492, 5.08547]","[0.113644, 2.41968, 3.28517, 5.48894, 7.7649]","[1.20968, 2.41968, 3.28517, 4.43111, 6.13845]","[1.88284, 2.61696, 3.1737, 3.89584, 6.27591]","[0.113644, 2.2912, 2.92457, 3.80185, 5.29854]","[0.113644, 0.113644, 2.92457, 4.99416, 8.03904]","[0.113644, 0.113644, 2.77595, 4.3684, 9.21084]","[1.20968, 2.16272, 2.61696, 3.1737, 5.03691]","[0.113644, 1.20968, 2.41968, 3.70787, 8.11037]","[0.113644, 0.113644, 2.16272, 3.28517, 6.20187]","[0.113644, 0.113644, 1.81287, 3.28517, 6.17407]","[0.113644, 1.20968, 1.81287, 2.92457, 4.67374]","[0.113644, 0.113644, 1.81287, 2.77595, 8.04511]","[0.113644, 0.113644, 1.81287, 3.84809, 6.77062]","[0.113644, 0.113644, 1.20968, 1.81287, 3.62542]","[0.113644, 0.113644, 0.113644, 6.29697, 7.25904]","[0.113644, 0.113644, 0.113644, 3.56825, 8.27485]","[0.113644, 0.113644, 0.113644, 2.41968, 6.27786]"
"[0.113644, 2.7362, 4.82627, 7.41291, 8.974]","[0.113644, 1.20968, 4.80976, 8.27732, 9.57638]","[0.113644, 0.113644, 3.39116, 4.67269, 5.04881]","[0.113644, 2.41968, 3.22943, 4.11061, 5.00781]","[0.113644, 0.113644, 3.05618, 6.30071, 13.1728]","[0.113644, 1.20968, 2.99037, 4.36063, 6.09783]","[0.113644, 1.81287, 2.92457, 3.87992, 4.64097]","[0.113644, 1.81287, 2.61696, 3.56825, 5.49905]","[0.113644, 1.20968, 2.41968, 3.48123, 4.9639]","[0.113644, 1.81287, 2.41968, 2.92457, 3.76344]","[0.113644, 0.113644, 2.16272, 7.88307, 9.12557]","[0.113644, 1.20968, 2.16272, 3.05618, 4.8529]","[0.113644, 1.20968, 2.16272, 3.39116, 6.09637]","[0.113644, 1.20968, 2.16272, 3.14432, 4.88173]","[0.113644, 0.113644, 1.9878, 3.5465, 5.66235]","[0.113644, 0.113644, 1.81287, 3.33816, 5.43084]","[0.113644, 0.113644, 1.81287, 4.11061, 8.27296]","[0.113644, 1.20968, 1.81287, 2.41968, 3.60651]","[0.113644, 0.935672, 1.81287, 2.81311, 4.2229]","[0.113644, 0.113644, 1.81287, 3.50298, 5.55932]","[0.113644, 0.113644, 1.81287, 2.41968, 3.70787]","[0.113644, 0.113644, 1.81287, 2.92457, 5.96743]","[0.113644, 0.113644, 1.81287, 2.77595, 3.83218]","[0.113644, 0.113644, 1.81287, 3.48123, 8.38748]","[0.113644, 0.113644, 1.81287, 2.77595, 6.02737]","[0.113644, 0.113644, 1.81287, 2.92457, 4.3519]","[0.113644, 0.113644, 1.81287, 2.7362, 3.77624]","[0.113644, 0.113644, 1.81287, 3.08556, 6.45202]","[0.113644, 0.113644, 1.81287, 2.77595, 5.12981]","[0.113644, 0.113644, 1.20968, 2.16272, 8.6379]","[0.113644, 0.113644, 1.20968, 2.41968, 3.76961]","[0.113644, 0.113644, 1.20968, 1.81287, 4.16691]","[0.113644, 0.113644, 1.20968, 2.77595, 5.1928]","[0.113644, 0.113644, 1.20968, 2.41968, 5.60874]","[0.113644, 0.113644, 1.20968, 2.41968, 4.4134]","[0.113644, 0.113644, 1.20968, 2.16272, 5.63312]","[0.113644, 0.113644, 1.20968, 1.81287, 3.47672]","[0.113644, 0.113644, 1.20968, 1.81287, 2.41968]","[0.113644, 0.113644, 1.20968, 2.77595, 4.05534]","[0.113644, 0.113644, 1.20968, 2.16272, 3.33832]","[0.113644, 0.113644, 1.20968, 1.81287, 4.28884]","[0.113644, 0.113644, 1.20968, 2.61696, 4.08851]","[0.113644, 0.113644, 1.20968, 2.41968, 4.75893]","[0.113644, 0.113644, 1.20968, 4.38682, 9.11944]","[0.113644, 0.113644, 1.20968, 1.20968, 1.81287]","[0.113644, 0.113644, 1.20968, 3.05618, 6.99029]","[0.113644, 0.113644, 1.20968, 4.87131, 8.29215]","[0.113644, 0.113644, 1.20968, 2.16272, 3.83218]","[0.113644, 0.113644, 1.20968, 2.85026, 5.2613]","[0.113644, 0.113644, 1.20968, 1.81287, 3.56825]","[0.113644, 0.113644, 1.20968, 2.16272, 5.18213]","[0.113644, 0.113644, 1.20968, 3.1737, 8.78132]","[0.113644, 0.113644, 1.20968, 2.16272, 3.89584]","[0.113644, 0.113644, 1.20968, 2.16272, 3.56825]","[0.113644, 0.113644, 1.20968, 6.11658, 7.76021]","[0.113644, 0.113644, 1.20968, 1.81287, 3.39116]","[0.113644, 0.113644, 1.20968, 2.61696, 6.99029]","[0.113644, 0.113644, 1.20968, 3.28517, 7.9912]","[0.113644, 0.113644, 1.20968, 4.00388, 7.67001]","[0.113644, 0.113644, 1.20968, 2.41968, 5.96743]","[0.113644, 0.113644, 1.20968, 1.20968, 1.83036]","[0.113644, 0.113644, 1.20968, 2.469, 7.56734]","[0.113644, 0.113644, 1.20968, 2.41968, 7.00003]","[0.113644, 0.113644, 1.20968, 1.81287, 5.99488]","[0.113644, 0.113644, 0.113644, 1.20968, 1.20968]","[0.113644, 0.113644, 0.113644, 1.20968, 2.48872]","[0.113644, 0.113644, 0.113644, 0.113644, 1.21814]","[0.113644, 0.113644, 0.113644, 7.30561, 8.79725]","[0.113644, 0.113644, 0.113644, 1.20968, 2.36828]","[0.113644, 0.113644, 0.113644, 1.20968, 3.18484]","[0.113644, 0.113644, 0.113644, 1.20968, 3.55912]","[0.113644, 0.113644, 0.113644, 1.20968, 5.01326]"
"[0.113644, 1.20968, 2.41968, 3.28517, 4.59911]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 4.19506]","[0.113644, 0.113644, 0.113644, 0.113644, 3.18484]","[0.113644, 0.113644, 0.113644, 0.113644, 1.27]","[0.113644, 0.113644, 0.113644, 0.113644, 7.19554]","[0.113644, 0.113644, 0.113644, 0.113644, 1.48112]","[0.113644, 0.113644, 0.113644, 0.113644, 1.20968]","[0.113644, 0.113644, 0.113644, 0.113644, 5.18213]","[0.113644, 0.113644, 0.113644, 1.20968, 3.31505]","[0.113644, 0.113644, 0.113644, 1.20968, 2.89533]","[0.113644, 0.113644, 0.113644, 0.113644, 2.41968]","[0.113644, 0.113644, 0.113644, 0.113644, 2.16272]","[0.113644, 0.113644, 0.113644, 0.113644, 1.20968]","[0.113644, 0.113644, 0.113644, 0.113644, 2.22696]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 4.13829]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 4.3519]","[0.113644, 0.113644, 0.113644, 1.81287, 3.41772]","[0.113644, 0.113644, 0.113644, 1.20968, 5.23546]","[0.113644, 0.113644, 0.113644, 0.113644, 1.81287]","[0.113644, 0.113644, 0.113644, 4.96795, 10.4886]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 2.62264]","[0.113644, 0.113644, 0.113644, 0.113644, 2.41968]","[0.113644, 0.113644, 0.113644, 0.113644, 2.82797]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 4.03333]","[0.113644, 0.113644, 0.113644, 0.113644, 1.20968]","[0.113644, 0.113644, 0.113644, 0.113644, 2.41968]","[0.113644, 0.113644, 0.113644, 0.113644, 1.81287]","[0.113644, 0.113644, 0.113644, 0.113644, 1.20968]","[0.113644, 0.113644, 0.113644, 0.113644, 1.81287]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 2.768]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 1.23984]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 1.20968]","[0.113644, 0.113644, 0.113644, 0.113644, 1.20968]","[0.113644, 0.113644, 0.113644, 1.20968, 4.05534]","[0.113644, 0.113644, 0.113644, 0.113644, 1.20968]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 6.4154]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 1.20968]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 1.23984]","[0.113644, 0.113644, 0.113644, 1.20968, 2.92457]","[0.113644, 0.113644, 0.113644, 0.113644, 1.20968]","[0.113644, 0.113644, 0.113644, 0.113644, 1.81287]","[0.113644, 0.113644, 0.113644, 0.113644, 1.20968]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 1.20968]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 4.98012]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 0.113644]","[0.113644, 0.113644, 0.113644, 0.113644, 1.20968]"
